幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.85000,30.20000,30.18500,30.15600,30.12500,30.09100,30.05500,30.01800,29.97600,本行賣出,30.52000,30.30000,30.28900,30.26800,30.23700,30.20600,30.17400,30.14400,30.11800,
HKD,本行買入,3.72300,3.84900,3.84700,3.84300,3.83900,3.83400,3.82900,3.82300,3.81800,本行賣出,3.92700,3.90900,3.90800,3.90600,3.90200,3.89800,3.89400,3.88900,3.88500,
GBP,本行買入,37.89000,38.89000,38.87900,38.85800,38.84900,38.83300,38.80500,38.77800,38.75000,本行賣出,40.01000,39.31000,39.31000,39.30900,39.30400,39.28800,39.27600,39.26400,39.25200,
AUD,本行買入,19.47000,19.74000,19.73300,19.72000,19.71200,19.70000,19.68300,19.66800,19.65000,本行賣出,20.25000,19.97000,19.96900,19.96600,19.95800,19.94800,19.93800,19.92900,19.91800,
CAD,本行買入,22.19000,22.58000,22.56800,22.54300,22.51800,22.49300,22.46100,22.42900,22.39800,本行賣出,23.10000,22.80000,22.79300,22.77900,22.75700,22.73300,22.70800,22.68400,22.66000,
SGD,本行買入,21.10000,21.59000,21.57900,21.55600,21.53500,21.51200,21.48900,21.46600,21.44300,本行賣出,22.01000,21.77000,21.76600,21.75900,21.74200,21.72500,21.70600,21.68700,21.66800,
CHF,本行買入,30.26000,30.92000,30.92400,30.93100,30.96800,30.99000,31.00600,31.02300,31.03900,本行賣出,31.46000,31.21000,31.22500,31.25500,31.29100,31.31800,31.34800,31.37900,31.40900,
JPY,本行買入,0.26550,0.27280,0.27280,0.27280,0.27300,0.27340,0.27330,0.27320,0.27310,本行賣出,0.27830,0.27680,0.27690,0.27710,0.27730,0.27780,0.27780,0.27780,0.27780,
ZAR,本行買入,0.00000,1.94200,1.93800,1.92900,1.91900,1.90900,1.89900,1.88800,1.87800,本行賣出,0.00000,2.02200,2.01900,2.01200,2.00200,1.99300,1.98300,1.97400,1.96400,
SEK,本行買入,2.74000,3.08000,3.08000,3.07900,3.08000,3.08000,3.08000,3.07900,3.07900,本行賣出,3.26000,3.18000,3.18100,3.18200,3.18400,3.18400,3.18500,3.18600,3.18600,
NZD,本行買入,18.59000,18.97000,18.96300,18.94800,18.94000,18.93000,18.91500,18.89900,18.88400,本行賣出,19.44000,19.17000,19.16800,19.16500,19.15200,19.15800,19.14900,19.14100,19.13200,
THB,本行買入,0.82460,0.93700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01460,0.97700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.52110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.65410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00253,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,32.22000,32.84000,32.84100,32.84300,32.86900,32.88400,32.89300,32.90300,32.91300,本行賣出,33.56000,33.24000,33.25400,33.28100,33.31200,33.33400,33.35700,33.38000,33.40300,
KRW,本行買入,0.02318,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02708,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.08700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.71200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.21100,4.28300,4.27930,4.27180,4.26320,4.25460,4.24520,4.23570,4.22630,本行賣出,4.37300,4.33300,4.33080,4.32650,4.31910,4.31280,4.30640,4.30000,4.29360,
